Date,TOC,TP,Turbidity
1/25/2021,2.841790609,0.012410822,1.512373844
1/26/2021,2.848080144,0.013341108,1.561432736
1/27/2021,2.854110638,0.014256,1.609257143
1/28/2021,2.859861845,0.015149341,1.655580675
1/29/2021,2.865313517,0.016014974,1.700136943
1/30/2021,2.870445407,0.016846741,1.742659559
1/31/2021,2.875237268,0.017638484,1.782882132
2/1/2021,2.879668854,0.018384047,1.820538276
2/2/2021,2.883719918,0.019077271,1.855361599
2/3/2021,2.887370213,0.019712,1.887085714
2/4/2021,2.890599491,0.020282076,1.915444232
2/5/2021,2.893387507,0.020781341,1.940170762
2/6/2021,2.895714013,0.021203638,1.960998917
2/7/2021,2.897558762,0.02154281,1.977662307
2/8/2021,2.898901507,0.0217927,1.989894544
2/9/2021,2.899722002,0.021947149,1.997429238
2/10/2021,2.9,0.022,2
2/11/2021,2.89514395,0.021917821,1.998879373
2/12/2021,2.881049563,0.0216793,1.995626822
2/13/2021,2.858427478,0.021296465,1.990406341
2/14/2021,2.827988338,0.020781341,1.983381924
2/15/2021,2.790442784,0.020145955,1.974717566
2/16/2021,2.746501458,0.019402332,1.964577259
2/17/2021,2.696875,0.0185625,1.953125
2/18/2021,2.642274052,0.017638484,1.940524781
2/19/2021,2.583409257,0.01664231,1.926940598
2/20/2021,2.520991254,0.015586006,1.912536443
2/21/2021,2.455730685,0.014481596,1.897476312
2/22/2021,2.388338192,0.013341108,1.881924198
2/23/2021,2.319524417,0.012176567,1.866044096
2/24/2021,2.25,0.011,1.85
2/25/2021,2.180475583,0.009823433,1.833955904
2/26/2021,2.111661808,0.008658892,1.818075802
2/27/2021,2.044269315,0.007518404,1.802523688
2/28/2021,1.979008746,0.006413994,1.787463557
3/1/2021,1.916590743,0.00535769,1.773059402
3/2/2021,1.857725948,0.004361516,1.759475219
3/3/2021,1.803125,0.0034375,1.746875
3/4/2021,1.753498542,0.002597668,1.735422741
3/5/2021,1.709557216,0.001854045,1.725282434
3/6/2021,1.672011662,0.001218659,1.716618076
3/7/2021,1.641572522,0.000703535,1.709593659
3/8/2021,1.618950437,0.0003207,1.704373178
3/9/2021,1.60485605,8.22E-05,1.701120627
3/10/2021,1.6,0,1.7
3/11/2021,1.604417521,5.92E-05,1.701332033
3/12/2021,1.617327783,0.000231416,1.705290721
3/13/2021,1.638217332,0.000508139,1.711819946
3/14/2021,1.666572712,0.000881053,1.720863593
3/15/2021,1.701880472,0.001341793,1.732365543
3/16/2021,1.743627155,0.001881996,1.746269682
3/17/2021,1.79129931,0.002493296,1.762519891
3/18/2021,1.844383481,0.00316733,1.781060054
3/19/2021,1.902366215,0.003895732,1.801834054
3/20/2021,1.964734058,0.004670138,1.824785774
3/21/2021,2.030973555,0.005482185,1.849859098
3/22/2021,2.100571254,0.006323506,1.876997909
3/23/2021,2.173013699,0.007185739,1.90614609
3/24/2021,2.247787438,0.008060519,1.937247524
3/25/2021,2.324379015,0.008939481,1.970246094
3/26/2021,2.402274978,0.009814261,2.005085684
3/27/2021,2.480961872,0.010676494,2.041710177
3/28/2021,2.559926243,0.011517815,2.080063456
3/29/2021,2.638654638,0.012329862,2.120089404
3/30/2021,2.716633602,0.013104268,2.161731905
3/31/2021,2.793349681,0.01383267,2.204934841
4/1/2021,2.868289422,0.014506704,2.249642096
4/2/2021,2.940939371,0.015118004,2.295797553
4/3/2021,3.010786073,0.015658207,2.343345096
4/4/2021,3.077316075,0.016118947,2.392228607
4/5/2021,3.140015922,0.016491861,2.442391969
4/6/2021,3.198372162,0.016768584,2.493779067
4/7/2021,3.251871339,0.016940752,2.546333783
4/8/2021,3.3,0.017,2.6
4/9/2021,3.345994469,0.016995986,2.671936084
4/10/2021,3.393275339,0.016984352,2.777440436
4/11/2021,3.441605557,0.016965706,2.913666992
4/12/2021,3.490748071,0.016940659,3.077769688
4/13/2021,3.54046583,0.016909821,3.266902462
4/14/2021,3.590521781,0.0168738,3.478219248
4/15/2021,3.640678872,0.016833206,3.708873984
4/16/2021,3.690700051,0.01678865,3.956020605
4/17/2021,3.740348266,0.016740741,4.216813049
4/18/2021,3.789386466,0.016690088,4.488405251
4/19/2021,3.837577597,0.016637301,4.767951147
4/20/2021,3.884684609,0.01658299,5.052604675
4/21/2021,3.930470448,0.016527765,5.33951977
4/22/2021,3.974698064,0.016472235,5.625850368
4/23/2021,4.017130403,0.01641701,5.908750407
4/24/2021,4.057530414,0.016362699,6.185373821
4/25/2021,4.095661045,0.016309912,6.452874548
4/26/2021,4.131285244,0.016259259,6.708406524
4/27/2021,4.164165959,0.01621135,6.949123686
4/28/2021,4.194066137,0.016166794,7.172179968
4/29/2021,4.220748727,0.0161262,7.374729309
