Date ,South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)"
11/1/2012,45.51026188,94.1,1.6666666666666665,6.8760666666666665,20.0,16.5304,104.85625,20.0,3.333333333333333
11/2/2012,44.63139301,94.1,-2.2222222222222223,4.828177777777778,12.777777777777777,12.727177777777776,139.65,13.333333333333332,-2.2222222222222223
11/3/2012,43.76949638,94.1,-1.6666666666666665,5.120733333333334,15.0,13.8974,140.125,15.0,-1.6666666666666665
11/4/2012,42.92424421,94.1,-3.333333333333333,4.243066666666667,17.22222222222222,15.067622222222221,139.65,16.666666666666668,-2.7777777777777777
11/5/2012,42.09531509,94.1,-2.2222222222222223,4.828177777777778,17.77777777777778,15.360177777777778,139.65,18.333333333333332,0.5555555555555556
11/6/2012,41.28239378,94.7,-2.2222222222222223,4.828177777777778,20.0,16.5304,139.65,19.444444444444443,1.1111111111111112
11/7/2012,40.48517116,79.2,-1.6666666666666665,5.120733333333334,22.77777777777778,17.993177777777777,159.8375,22.22222222222222,-0.5555555555555556
11/8/2012,39.70334405,54.0,1.1111111111111112,6.583511111111111,19.444444444444443,16.23784444444444,187.625,14.444444444444445,-2.7777777777777777
11/9/2012,38.93661516,46.5,5.0,8.6314,16.666666666666668,14.775066666666667,181.6875,20.0,-2.2222222222222223
11/10/2012,38.18469291,46.6,-7.777777777777778,1.9026222222222229,8.88888888888889,10.67928888888889,118.75,9.444444444444445,-7.777777777777778
11/11/2012,37.44729136,47.1,-11.11111111111111,0.14728888888889013,0.5555555555555556,6.290955555555556,94.05,2.2222222222222223,-11.666666666666666
11/12/2012,36.7241301,47.8,-10.0,0.7324000000000002,11.666666666666666,12.142066666666665,133.95,10.0,-8.333333333333334
11/13/2012,36.01493413,47.9,-3.888888888888889,3.9505111111111115,11.11111111111111,11.84951111111111,133.7125,10.0,-5.555555555555555
11/14/2012,35.31943375,47.9,-6.111111111111111,2.7802888888888897,16.11111111111111,14.48251111111111,125.1229167,13.333333333333332,-7.222222222222222
11/15/2012,34.6373645,47.5,-5.555555555555555,3.072844444444445,9.444444444444445,10.971844444444445,147.25,6.111111111111111,-5.0
11/16/2012,33.96846698,45.0,-4.444444444444445,3.6579555555555556,16.11111111111111,14.48251111111111,143.9645833,16.666666666666668,-2.2222222222222223
11/17/2012,33.31248684,43.5,-2.2222222222222223,4.828177777777778,15.555555555555555,14.189955555555555,144.4,15.555555555555555,-4.444444444444445
11/18/2012,32.66917463,43.5,-2.7777777777777777,4.535622222222223,13.88888888888889,13.312288888888888,144.875,15.555555555555555,-5.555555555555555
11/19/2012,32.0382857,44.7,-3.333333333333333,4.243066666666667,12.777777777777777,12.727177777777776,145.35,11.11111111111111,-3.333333333333333
11/20/2012,31.41958015,46.5,-2.7777777777777777,4.535622222222223,18.333333333333332,15.652733333333332,145.35,15.0,-3.888888888888889
11/21/2012,30.8128227,46.5,-0.5555555555555556,5.705844444444445,20.0,16.5304,145.35,21.666666666666668,-3.888888888888889
11/22/2012,30.21778261,46.5,-6.666666666666666,2.4877333333333342,16.666666666666668,14.775066666666667,145.1125,12.222222222222221,-19.444444444444443
11/23/2012,29.6342336,46.5,-5.0,3.3654,15.0,13.8974,144.4,8.333333333333334,-3.888888888888889
11/24/2012,29.06195376,46.5,-2.2222222222222223,4.828177777777778,11.11111111111111,11.84951111111111,144.4,7.222222222222222,-3.888888888888889
11/25/2012,28.50072548,46.5,-7.777777777777778,1.9026222222222229,17.22222222222222,15.067622222222221,144.875,15.0,-6.111111111111111
11/26/2012,27.95033532,46.5,-7.222222222222222,2.1951777777777783,2.2222222222222223,7.168622222222222,145.6270833,-1.6666666666666665,-7.222222222222222
11/27/2012,27.410574,46.5,-5.555555555555555,3.072844444444445,15.555555555555555,14.189955555555555,143.1333333,11.11111111111111,-5.555555555555555
11/28/2012,26.88123624,46.5,-3.333333333333333,4.243066666666667,12.777777777777777,12.727177777777776,144.3604167,11.666666666666666,-5.555555555555555
11/29/2012,26.36212076,46.5,-3.333333333333333,4.243066666666667,16.666666666666668,14.775066666666667,119.6208333,17.22222222222222,-4.444444444444445
11/30/2012,25.85303015,74.4,-2.7777777777777777,4.535622222222223,17.77777777777778,15.360177777777778,82.65,16.666666666666668,-4.444444444444445
12/1/2012,25.35377081,98.2,-2.2222222222222223,4.828177777777778,17.77777777777778,15.360177777777778,86.45,16.666666666666668,-4.444444444444445
12/2/2012,24.86415289,97.8,-1.1111111111111112,5.413288888888889,16.11111111111111,14.48251111111111,85.975,18.333333333333332,0.5555555555555556
12/3/2012,24.3839902,121.0,-6.666666666666666,2.4877333333333342,13.333333333333332,13.019733333333331,85.5,11.11111111111111,-6.666666666666666
12/4/2012,23.91310015,160.0,-5.555555555555555,3.072844444444445,13.88888888888889,13.312288888888888,85.5,10.0,-3.333333333333333
12/5/2012,23.45130366,170.0,2.2222222222222223,7.168622222222222,19.444444444444443,16.23784444444444,85.5,20.0,-0.5555555555555556
12/6/2012,22.99842513,170.0,-3.888888888888889,3.9505111111111115,8.88888888888889,10.67928888888889,85.34166667,7.777777777777778,-6.666666666666666
12/7/2012,22.55429234,170.0,-4.444444444444445,3.6579555555555556,11.666666666666666,12.142066666666665,84.98541667,10.555555555555555,-8.88888888888889
12/8/2012,22.11873639,170.0,-10.0,0.7324000000000002,9.444444444444445,10.971844444444445,85.5,11.11111111111111,-8.88888888888889
12/9/2012,21.69159166,170.0,-20.555555555555554,-4.8261555555555535,-10.0,0.7324000000000002,85.5,-7.777777777777778,-17.22222222222222
12/10/2012,21.27269571,170.0,-17.77777777777778,-3.363377777777778,2.2222222222222223,7.168622222222222,85.5,2.7777777777777777,-13.88888888888889
12/11/2012,20.86188924,170.0,-15.555555555555555,-2.1931555555555544,3.333333333333333,7.753733333333333,86.925,1.6666666666666665,-10.555555555555555
12/12/2012,20.45901604,170.0,-4.444444444444445,3.6579555555555556,8.88888888888889,10.67928888888889,87.4,11.11111111111111,-11.11111111111111
12/13/2012,20.0639229,171.0,-5.555555555555555,3.072844444444445,9.444444444444445,10.971844444444445,86.45,11.11111111111111,-7.222222222222222
12/14/2012,19.67645959,170.0,-5.555555555555555,3.072844444444445,4.444444444444445,8.338844444444444,86.45,5.555555555555555,-8.88888888888889
12/15/2012,19.29647874,170.0,-9.444444444444445,1.0249555555555556,5.555555555555555,8.923955555555555,87.4,6.111111111111111,-7.222222222222222
12/16/2012,18.92383588,170.0,-8.333333333333334,1.6100666666666665,5.0,8.6314,87.875,5.555555555555555,-8.88888888888889
12/17/2012,18.55838929,170.0,-2.7777777777777777,4.535622222222223,6.111111111111111,9.21651111111111,86.45,8.333333333333334,-7.222222222222222
12/18/2012,18.2,170.0,-8.88888888888889,1.317511111111111,6.111111111111111,9.21651111111111,86.45,4.444444444444445,-7.222222222222222
12/19/2012,18.03891892,160.0,-21.11111111111111,-5.118711111111109,-8.88888888888889,1.317511111111111,86.45,-7.222222222222222,-20.0
12/20/2012,17.87783784,152.0,-21.11111111111111,-5.118711111111109,6.111111111111111,9.21651111111111,86.45,0.5555555555555556,-15.555555555555555
12/21/2012,17.71675676,152.0,-9.444444444444445,1.0249555555555556,8.88888888888889,10.67928888888889,86.45,8.88888888888889,-6.666666666666666
12/22/2012,17.55567568,152.0,-8.88888888888889,1.317511111111111,9.444444444444445,10.971844444444445,86.45,4.444444444444445,-13.333333333333332
12/23/2012,17.39459459,152.0,-5.555555555555555,3.072844444444445,7.777777777777778,10.094177777777777,86.45,10.0,-12.222222222222221
12/24/2012,17.23351351,152.0,-15.0,-1.900599999999999,5.0,8.6314,70.775,2.2222222222222223,-12.777777777777777
12/25/2012,17.07243243,152.0,-15.555555555555555,-2.1931555555555544,-4.444444444444445,3.6579555555555556,70.775,-8.88888888888889,-17.22222222222222
12/26/2012,16.91135135,171.0,-12.777777777777777,-0.7303777777777762,5.0,8.6314,86.45,-1.6666666666666665,-15.555555555555555
12/27/2012,16.75027027,183.0,-14.444444444444445,-1.6080444444444435,0.5555555555555556,6.290955555555556,86.45,-3.888888888888889,-17.77777777777778
12/28/2012,16.58918919,183.0,-17.22222222222222,-3.070822222222221,-1.1111111111111112,5.413288888888889,86.45,-1.6666666666666665,-15.555555555555555
12/29/2012,16.42810811,183.0,-16.11111111111111,-2.48571111111111,3.888888888888889,8.046288888888888,86.45,3.333333333333333,-13.333333333333332
12/30/2012,16.26702703,183.0,-13.333333333333332,-1.0229333333333317,4.444444444444445,8.338844444444444,86.45,7.222222222222222,-13.333333333333332
12/31/2012,16.10594595,168.0,-17.22222222222222,-3.070822222222221,-3.888888888888889,3.9505111111111115,86.45,-5.555555555555555,-16.11111111111111
1/1/2013,15.94486486,149.0,-18.333333333333332,-3.6559333333333317,-2.7777777777777777,4.535622222222223,86.45,-2.7777777777777777,-15.0
1/2/2013,15.78378378,149.0,-19.444444444444443,-4.241044444444443,-1.1111111111111112,5.413288888888889,86.45,-1.1111111111111112,-16.11111111111111
1/3/2013,15.6227027,149.0,-19.444444444444443,-4.241044444444443,1.1111111111111112,6.583511111111111,86.45,-1.6666666666666665,-16.11111111111111
1/4/2013,15.46162162,179.0,-16.11111111111111,-2.48571111111111,5.555555555555555,8.923955555555555,86.45,3.888888888888889,-12.777777777777777
1/5/2013,15.30054054,200.0,-15.0,-1.900599999999999,5.0,8.6314,86.45,3.333333333333333,-11.666666666666666
1/6/2013,15.13945946,200.0,-12.222222222222221,-0.4378222222222208,10.555555555555555,11.556955555555554,87.4,10.555555555555555,-10.555555555555555
1/7/2013,14.97837838,184.0,-7.777777777777778,1.9026222222222229,9.444444444444445,10.971844444444445,88.35,7.222222222222222,-6.111111111111111
1/8/2013,14.8172973,173.0,-8.88888888888889,1.317511111111111,8.333333333333334,10.386733333333334,88.35,11.11111111111111,-6.111111111111111
1/9/2013,14.65621622,172.0,-8.88888888888889,1.317511111111111,12.222222222222221,12.43462222222222,88.35,12.777777777777777,-5.555555555555555
1/10/2013,14.49513514,172.0,-4.444444444444445,3.6579555555555556,8.88888888888889,10.67928888888889,88.35,9.444444444444445,-7.222222222222222
1/11/2013,14.33405405,172.0,-17.77777777777778,-3.363377777777778,1.1111111111111112,6.583511111111111,88.35,3.888888888888889,-19.444444444444443
1/12/2013,14.17297297,172.0,-21.666666666666668,-5.411266666666666,-5.555555555555555,3.072844444444445,87.4,-9.444444444444445,-23.333333333333332
1/13/2013,14.01189189,172.0,-21.666666666666668,-5.411266666666666,-7.222222222222222,2.1951777777777783,86.45,-10.555555555555555,-23.333333333333332
1/14/2013,13.85081081,172.0,-23.333333333333332,-6.288933333333331,-9.444444444444445,1.0249555555555556,86.45,-11.11111111111111,-22.22222222222222
